 ,Area,Mean,Min,Max,IntDen,RawIntDen
759,296,255,255,255,75480,75480
760,316,255,255,255,80580,80580
761,359,255,255,255,91545,91545
762,366,255,255,255,93330,93330
763,499,255,255,255,127245,127245
764,333,255,255,255,84915,84915
765,409,255,255,255,104295,104295
766,324,255,255,255,82620,82620
767,494,255,255,255,125970,125970
768,278,255,255,255,70890,70890
769,389,255,255,255,99195,99195
770,292,255,255,255,74460,74460
771,363,255,255,255,92565,92565
772,308,255,255,255,78540,78540
773,276,255,255,255,70380,70380
774,496,255,255,255,126480,126480
775,446,255,255,255,113730,113730
776,342,255,255,255,87210,87210
777,335,255,255,255,85425,85425
778,385,255,255,255,98175,98175
779,315,255,255,255,80325,80325
780,311,255,255,255,79305,79305
781,300,255,255,255,76500,76500
782,374,255,255,255,95370,95370
783,348,255,255,255,88740,88740
784,471,255,255,255,120105,120105
785,320,255,255,255,81600,81600
786,332,255,255,255,84660,84660
787,301,255,255,255,76755,76755
788,339,255,255,255,86445,86445
789,450,255,255,255,114750,114750
790,322,255,255,255,82110,82110
791,477,255,255,255,121635,121635
792,331,255,255,255,84405,84405
793,396,255,255,255,100980,100980
794,398,255,255,255,101490,101490
795,323,255,255,255,82365,82365
796,303,255,255,255,77265,77265
797,316,255,255,255,80580,80580
798,449,255,255,255,114495,114495
799,346,255,255,255,88230,88230
800,415,255,255,255,105825,105825
801,302,255,255,255,77010,77010
802,339,255,255,255,86445,86445
803,315,255,255,255,80325,80325
804,490,255,255,255,124950,124950
805,466,255,255,255,118830,118830
806,317,255,255,255,80835,80835
807,468,255,255,255,119340,119340
808,364,255,255,255,92820,92820
809,477,255,255,255,121635,121635
810,363,255,255,255,92565,92565
811,320,255,255,255,81600,81600
812,310,255,255,255,79050,79050
813,321,255,255,255,81855,81855
814,316,255,255,255,80580,80580
815,350,255,255,255,89250,89250
816,315,255,255,255,80325,80325
817,356,255,255,255,90780,90780
818,398,255,255,255,101490,101490
819,358,255,255,255,91290,91290
820,364,255,255,255,92820,92820
821,189,255,255,255,48195,48195
822,332,255,255,255,84660,84660
823,352,255,255,255,89760,89760
824,307,255,255,255,78285,78285
825,340,255,255,255,86700,86700
826,298,255,255,255,75990,75990
827,334,255,255,255,85170,85170
828,319,255,255,255,81345,81345
829,416,255,255,255,106080,106080
830,307,255,255,255,78285,78285
831,389,255,255,255,99195,99195
832,253,255,255,255,64515,64515
833,234,255,255,255,59670,59670
834,299,255,255,255,76245,76245
835,218,255,255,255,55590,55590
836,455,255,255,255,116025,116025
837,318,255,255,255,81090,81090
838,466,255,255,255,118830,118830
839,325,255,255,255,82875,82875
840,335,255,255,255,85425,85425
841,303,255,255,255,77265,77265
842,323,255,255,255,82365,82365
843,361,255,255,255,92055,92055
844,342,255,255,255,87210,87210
845,341,255,255,255,86955,86955
846,333,255,255,255,84915,84915
847,441,255,255,255,112455,112455
848,386,255,255,255,98430,98430
849,326,255,255,255,83130,83130
850,360,255,255,255,91800,91800
851,318,255,255,255,81090,81090
852,342,255,255,255,87210,87210
853,451,255,255,255,115005,115005
854,311,255,255,255,79305,79305
855,346,255,255,255,88230,88230
856,347,255,255,255,88485,88485
857,275,255,255,255,70125,70125
858,315,255,255,255,80325,80325
859,322,255,255,255,82110,82110
860,419,255,255,255,106845,106845
861,343,255,255,255,87465,87465
862,295,255,255,255,75225,75225
863,391,255,255,255,99705,99705
864,337,255,255,255,85935,85935
865,336,255,255,255,85680,85680
